node,t,T,H,x,y
0,0,10.97,66.05,0.0,0.0
0,1,10.32,66.29,0.0,0.0
0,2,11.19,61.85,0.0,0.0
0,3,10.94,60.32,0.0,0.0
0,4,11.08,64.12,0.0,0.0
0,5,10.63,69.06,0.0,0.0
0,6,10.53,69.89,0.0,0.0
0,7,11.03,65.99,0.0,0.0
0,8,10.33,66.88,0.0,0.0
0,9,9.48,67.88,0.0,0.0
0,10,9.43,61.91,0.0,0.0
0,11,10.31,57.51,0.0,0.0
0,12,12.44,48.88,0.0,0.0
0,13,10.22,51.64,0.0,0.0
0,14,10.76,48.95,0.0,0.0
0,15,11.52,49.59,0.0,0.0
0,16,11.23,56.22,0.0,0.0
0,17,11.85,59.22,0.0,0.0
0,18,12.74,54.72,0.0,0.0
0,19,11.2,58.76,0.0,0.0
0,20,10.03,59.65,0.0,0.0
0,21,10.84,51.36,0.0,0.0
0,22,10.73,52.02,0.0,0.0
0,23,9.96,56.29,0.0,0.0
0,24,10.03,54.78,0.0,0.0
0,25,12.47,52.04,0.0,0.0
0,26,13.66,56.31,0.0,0.0
0,27,15.36,49.89,0.0,0.0
0,28,13.85,52.85,0.0,0.0
0,29,14.5,53.96,0.0,0.0
0,30,14.44,63.87,0.0,0.0
0,31,12.75,83.87,0.0,0.0
0,32,11.25,67.79,0.0,0.0
0,33,12.27,54.61,0.0,0.0
0,34,13.51,74.39,0.0,0.0
0,35,11.49,68.47,0.0,0.0
0,36,10.81,51.83,0.0,0.0
0,37,11.26,50.49,0.0,0.0
0,38,9.76,54.44,0.0,0.0
0,39,12.94,43.05,0.0,0.0
0,40,14.45,41.05,0.0,0.0
0,41,14.28,46.83,0.0,0.0
0,42,14.81,48.32,0.0,0.0
0,43,15.68,47.46,0.0,0.0
0,44,15.23,52.13,0.0,0.0
0,45,15.53,45.17,0.0,0.0
0,46,16.68,36.99,0.0,0.0
0,47,16.97,37.17,0.0,0.0
0,48,16.32,47.22,0.0,0.0
0,49,18.5,49.18,0.0,0.0
0,50,16.4,63.2,0.0,0.0
0,51,15.25,57.42,0.0,0.0
0,52,14.84,47.33,0.0,0.0
0,53,14.41,40.91,0.0,0.0
0,54,14.8,35.59,0.0,0.0
0,55,14.17,42.3,0.0,0.0
0,56,13.68,45.31,0.0,0.0
0,57,13.88,49.43,0.0,0.0
0,58,15.56,47.69,0.0,0.0
0,59,16.65,52.96,0.0,0.0
0,60,17.72,56.59,0.0,0.0
0,61,17.43,75.14,0.0,0.0
0,62,12.68,52.21,0.0,0.0
0,63,11.63,43.42,0.0,0.0
0,64,12.56,45.0,0.0,0.0
0,65,13.92,44.13,0.0,0.0
0,66,16.11,45.38,0.0,0.0
0,67,16.48,47.01,0.0,0.0
0,68,17.62,45.87,0.0,0.0
0,69,19.19,39.39,0.0,0.0
0,70,20.61,37.55,0.0,0.0
0,71,20.99,40.85,0.0,0.0
0,72,20.22,42.23,0.0,0.0
0,73,19.27,50.15,0.0,0.0
0,74,19.1,46.84,0.0,0.0
0,75,19.68,36.93,0.0,0.0
0,76,20.66,38.39,0.0,0.0
0,77,21.93,38.31,0.0,0.0
0,78,22.79,38.27,0.0,0.0
0,79,24.01,37.16,0.0,0.0
